"kanji","meaning_en","meaning_ne","jlpt","onyomi","kunyomi","words","example","example_en","example_ne","component","confusable","disc_front","disc_options","disc_answer","disc_note","tags"
"違","differ; wrong","फरक; गलत","N3","イ","ちが・う / ちが・い","違[ちが]う — to differ; to be wrong — फरक हुनु<br>違[ちが]い — difference — भिन्नता<br>間違[まちが]える — to make a mistake — गल्ती गर्नु<br>違反[いはん] — violation — उल्लङ्घन<br>勘違[かんちが]い — misunderstanding — गलत बुझाइ","私[わたし]の 考[かんが]えは 少[すこ]し 違[ちが]います。","My thinking is a little different.","मेरो सोचाइ अलि फरक छ।","辶 + 韋 (walking in opposite directions → differ, go wrong)","達 (たつ) = 辶 + 幸 — very similar at a glance; 偉 (えら・い) = 亻 + 韋","Which kanji means 'to differ'? 考えが＿う","違 / 偉 / 達","違","違 has 韋 (with a 口 in the middle) on the right. 達 has 土 over 羊 (友達). 偉 has 亻 (偉い).","N3 kanji batch7 vocab_linked kanji_day49 verb confusable"
"適","suitable, appropriate","उपयुक्त","N3","テキ","—","適当[てきとう] — appropriate; also 'half-hearted' — उपयुक्त; लापरवाह<br>適切[てきせつ] — appropriate, apt — उपयुक्त<br>快適[かいてき] — comfortable — आरामदायी<br>適[てき]する — to be suited to — उपयुक्त हुनु","この 仕事[しごと]に 適[てき]した 人[ひと]を 探[さが]している。","We're looking for someone suited to this job.","यो कामका लागि उपयुक्त व्यक्ति खोज्दैछौँ।","辶 + 啇 (proceeding to the exact target → suitable)","敵 (てき, enemy) = 啇 + 攵 — same reading, same right component","Which kanji means 'suitable'? ＿当な人","摘 / 適 / 敵","適","適 has 辶 — suitable (適当, 快適). 敵 has 攵 — enemy (敵を倒す). Both read てき.","N3 kanji batch7 vocab_linked kanji_day49 adj confusable"
"単","single, simple","एकल, सरल","N3","タン","—","簡単[かんたん] — simple, easy — सजिलो<br>単語[たんご] — word, vocabulary item — शब्द<br>単[たん]なる — mere, just — मात्रै<br>単位[たんい] — unit; credit (school) — एकाइ","毎日[まいにち] 新[あたら]しい 単語[たんご]を 覚[おぼ]えている。","I memorize new words every day.","हरेक दिन नयाँ शब्द कण्ठ गर्छु।","⺍ + 田 + 十 (a single simple net placed over a field)","戦 (たたか・う) = 単 + 戈 — 単 is the left half","","","","","N3 kanji batch7 vocab_linked kanji_day49 noun"
"複","multiple, compound","बहु-","N3","フク","—","複雑[ふくざつ] — complicated — जटिल<br>複数[ふくすう] — plural, multiple — बहुवचन<br>複写[ふくしゃ] — copy, duplication — प्रतिलिपि","この 手続[てつづ]きは 少[すこ]し 複雑[ふくざつ]です。","This procedure is a bit complicated.","यो प्रक्रिया अलि जटिल छ।","衤 + 复 (repeating layers of clothing → multiple, compound)","復 (ふく, 復習) = 彳 + 复; 腹 (はら, belly) = 月 + 复","Which kanji is in 複雑 (complicated)? ＿雑","復 / 腹 / 複","複","複 has 衤 (clothing radical, with the extra stroke). 復 has 彳 (復習). 腹 has 月 (お腹).","N3 kanji batch7 vocab_linked kanji_day49 noun confusable"
"雑","miscellaneous, rough","विविध, अस्तव्यस्त","N3","ザツ / ゾウ","—","複雑[ふくざつ] — complicated — जटिल<br>雑誌[ざっし] — magazine — पत्रिका<br>雑[ざつ] — sloppy, careless — लापरवाह<br>雑音[ざつおん] — noise — हल्ला","字[じ]が 雑[ざつ]で 読[よ]みにくい。","The handwriting is sloppy and hard to read.","अक्षर अस्तव्यस्त भएर पढ्न गाह्रो छ।","九 + 木 + 隹 (nine different birds gathered in a tree → miscellaneous mixture)","集 (あつ・める) = 隹 + 木 — shares 隹; 難 (むずか・しい) also has 隹","","","","","N3 kanji batch7 vocab_linked kanji_day49 noun adj"
"勝","win; surpass","जित्नु","N3","ショウ","か・つ / まさ・る","勝[か]つ — to win — जित्नु<br>勝負[しょうぶ] — match, contest — प्रतिस्पर्धा<br>勝手[かって]に — selfishly, without permission — मनपरी<br>優勝[ゆうしょう] — championship — च्याम्पियनसिप","日本[にほん]の チームが 三対一[さんたいいち]で 勝[か]った。","The Japanese team won three to one.","जापानी टिम तीन-एकले जित्यो।","月 + 龹 + 力 (exerting the full strength of one's body to win)","券 (けん, ticket) is close in shape; 負 (ま・ける) is the opposite","","","","","N3 kanji batch7 vocab_linked kanji_day50 verb"
"負","lose; bear, carry","हार्नु; बोक्नु","N3","フ","ま・ける / お・う","負[ま]ける — to lose — हार्नु<br>勝負[しょうぶ] — match, contest — प्रतिस्पर्धा<br>負担[ふたん] — burden — भार<br>怪我[けが]を 負[お]う — to sustain an injury — चोट लाग्नु","昨日[きのう]の 試合[しあい]は 残念[ざんねん]ながら 負[ま]けた。","Unfortunately we lost yesterday's match.","हिजोको खेल दुर्भाग्यवश हार्‍यौँ।","⺈ + 貝 (a person bending under the weight of carried shells, or losing wealth → bear, lose)","貧 (まず・しい) and 貨 (か) also sit on 貝","","","","","N3 kanji batch7 vocab_linked kanji_day50 verb"
"争","dispute, compete","विवाद, प्रतिस्पर्धा","N3","ソウ","あらそ・う","戦争[せんそう] — war — युद्ध<br>争[あらそ]う — to fight over, dispute — झगडा गर्नु<br>競争[きょうそう] — competition — प्रतिस्पर्धा<br>論争[ろんそう] — controversy — बहस","この 業界[ぎょうかい]は 競争[きょうそう]が 激[はげ]しい。","Competition in this industry is fierce.","यो क्षेत्रमा प्रतिस्पर्धा कडा छ।","⺈ + 𝺕 (two hands pulling at the same object → dispute, compete)","急 (いそ・ぐ) has a similar top","","","","","N3 kanji batch7 vocab_linked kanji_day50 verb noun"
"戦","war; fight","युद्ध; लड्नु","N3","セン","たたか・う / いくさ","戦争[せんそう] — war — युद्ध<br>戦[たたか]う — to fight, battle — लड्नु<br>作戦[さくせん] — strategy, operation — रणनीति<br>試合[しあい]に 挑戦[ちょうせん]する — to take on a challenge — चुनौती लिनु","新[あたら]しい ことに 挑戦[ちょうせん]するのは 怖[こわ]い。","Taking on something new is scary.","नयाँ कुरामा चुनौती लिन डर लाग्छ।","単 + 戈 (wielding simple spears in a fight → war)","単 (たん) is the left half; 残 (ざん) has 戔, not 戈","","","","","N3 kanji batch7 vocab_linked kanji_day50 verb noun"
"敵","enemy","शत्रु","N3","テキ","かたき","敵[てき] — enemy — शत्रु<br>強敵[きょうてき] — formidable opponent — बलियो प्रतिद्वन्द्वी<br>無敵[むてき] — invincible — अपराजित","彼[かれ]は 敵[てき]ではなく 味方[みかた]だ。","He is not an enemy but an ally.","उनी शत्रु होइनन्, साथी हुन्।","啇 + 攵 (striking at a base target → enemy)","適 (てき) = 辶 + 啇 — same reading, easily swapped","Which kanji means 'enemy'? ＿ではなく味方だ","摘 / 適 / 敵","敵","敵 has 攵 on the right — enemy. 適 has 辶 — suitable (適当). Same reading てき; the meaning is opposite in tone.","N3 kanji batch7 vocab_linked kanji_day50 noun confusable"
"具","tool; concrete","उपकरण; ठोस","N3","グ","—","道具[どうぐ] — tool — औजार<br>家具[かぐ] — furniture — फर्निचर<br>具体的[ぐたいてき] — concrete, specific — ठोस<br>具合[ぐあい] — condition, state — अवस्था","もう 少[すこ]し 具体的[ぐたいてき]に 説明[せつめい]してください。","Please explain a bit more concretely.","अलि ठोस रूपमा बुझाउनुहोस्।","目 + 八 (eyes inspecting tools laid out on a table)","真 (しん) = 直 + 八 — similar bottom; 貝 (かい) is close in shape","","","","","N3 kanji batch7 vocab_linked kanji_day51 noun"
"材","material; timber","सामग्री","N3","ザイ","—","材料[ざいりょう] — ingredients, materials — सामग्री<br>教材[きょうざい] — teaching materials — पाठ्य सामग्री<br>素材[そざい] — material, raw material — कच्चा सामग्री<br>人材[じんざい] — human resources, talent — जनशक्ति","この 料理[りょうり]の 材料[ざいりょう]は 全部[ぜんぶ] スーパーで 買[か]える。","All the ingredients for this dish are available at the supermarket.","यो परिकारका सबै सामग्री सुपरमार्केटमा किन्न सकिन्छ।","木 + 才 (a tree with the raw talent to become building timber → material)","財 (ざい) = 貝 + 才 — same reading; 才 (さい, talent)","Which kanji is in 材料 (ingredients)? ＿料","財 / 才 / 材","材","材 has 木 (wood — physical material). 財 has 貝 (money — 財布, 財産). Both read ざい.","N3 kanji batch7 vocab_linked kanji_day51 noun confusable"
"板","board, plank","फल्याक","N3","ハン / バン","いた","板[いた] — board, plank — फल्याक<br>黒板[こくばん] — blackboard — कालोपाटी<br>看板[かんばん] — signboard — साइनबोर्ड<br>まな 板[いた] — cutting board — काट्ने बोर्ड","先生[せんせい]が 黒板[こくばん]に 漢字[かんじ]を 書[か]いた。","The teacher wrote kanji on the blackboard.","शिक्षकले कालोपाटीमा कान्जी लेखे।","木 + 反 (wood sliced into a flat surface → board, plank)","反 (はん) is the right half; 阪 (さか, 大阪) = 阝 + 反","","","","","N3 kanji batch7 vocab_linked kanji_day51 noun"
"布","cloth","कपडा","N3","フ","ぬの","布[ぬの] — cloth — कपडा<br>財布[さいふ] — wallet — पर्स<br>毛布[もうふ] — blanket — कम्बल<br>分布[ぶんぷ] — distribution — वितरण","寒[さむ]いので 毛布[もうふ]を もう 一枚[いちまい] ください。","It's cold, so please give me one more blanket.","जाडो भएकाले अर्को एउटा कम्बल दिनुहोस्।","𠂇 + 巾 (a hand spreading out a woven towel → cloth)","希 (き, 希望) has a similar structure with 巾 at the bottom","","","","","N3 kanji batch7 vocab_linked kanji_day51 noun"
