"grammar","formation","meaning_en","meaning_ne","ex1","ex1_reading","ex1_en","ex1_ne","ex2","ex2_reading","ex2_en","ex2_ne","ex3","ex3_reading","ex3_en","ex3_ne","frame","nuance","spoken","contrast","trap","cloze_front","cloze_answer","disc_front","disc_options","disc_answer","disc_why","disc_wrong","contrast_front","contrast_answer","contrast_note","tags"
"〜がち","V-stem + がち; N + がち (conjugates as な-adj)","tend to ~; be prone to ~ (usually undesirable)","प्रायः … हुने / … गर्ने प्रवृत्ति (नराम्रो)","冬は風邪をひきがちだ。","ふゆは かぜを ひきがちだ。","People tend to catch colds in winter.","जाडोमा प्रायः रुघा लाग्छ।","この電車は遅れがちなので、余裕を持って出よう。","このでんしゃは おくれがちな ので、よゆうを もって でよう。","This train tends to run late, so let's leave with time to spare.","यो ट्रेन प्रायः ढिलो हुन्छ, त्यसैले समय हेरेर निस्कौं।","忙しいと、食事が不規則になりがちだ。","いそがしいと、しょくじが ふきそくに なりがちだ。","When you're busy, meals tend to become irregular.","व्यस्त हुँदा खानपान प्रायः अनियमित हुन्छ।","[V-stem / N]がちだ","A frequent tendency, almost always something unwanted. Set nouns: 病気がち, 曇りがち, 遠慮がち.","same","がち ↔ っぽい","がち = frequency of occurrence; っぽい = resemblance or a character trait","冬は風邪をひき＿＿だ。","がち","この電車は遅れ＿＿なので、余裕を持って出よう。","A がち / B っぽい / C ぎみ / D かけ","A がち","A recurring tendency of the train to be late.","C ぎみ describes a slight current condition (遅れぎみ = running a bit behind right now), but 余裕を持って出よう assumes a repeated pattern.","Describing a person's character, not how often something happens. 彼は子供＿＿＿ところがある。","っぽい","っぽい fits because it describes a childlike quality in his character; がち would state how often something occurs, and 子供がち is not a tendency of occurrence. 子供っぽい性格 / 忘れがちだ.","N3 grammar tendency confusable"
"〜がる","い-adj stem / な-adj stem + がる; 〜たがる for wanting to do","show signs of feeling ~ (about a third person)","… जस्तो देखाउनु / अरूले … महसुस गरेको देखिनु","子供が犬を怖がっている。","こどもが いぬを こわがって いる。","The child is afraid of the dog.","बच्चा कुकुरसँग डराइरहेको छ।","弟は新しいゲームを欲しがっている。","おとうとは あたらしい ゲームを ほしがって いる。","My brother wants a new game.","भाइले नयाँ गेम चाहिरहेको छ।","彼女は一人で行きたがらない。","かのじょは ひとりで いきたがらない。","She doesn't want to go alone.","उनी एक्लै जान चाहँदिनन्।","[third person]は [adj-stem]がっている","Reports another person's feelings from outward signs; the speaker cannot see inside them. With がる the object particle becomes を (犬が怖い → 犬を怖がる).","same","がる ↔ plain adjective","not used for the speaker's own current feeling (×私は怖がっている); 〜が欲しい → 〜を欲しがる","子供が犬を怖＿＿＿いる。","がって","弟は新しいゲームを欲し＿＿＿いる。","A がって / B くて / C そうで / D ぽくて","A がって","A third person's desire reported from outward signs, with を marking the object.","B 欲しくて would state the speaker's own desire and cannot take を as its object here.","","","","N3 grammar emotion"
"〜だらけ","N + だらけ","covered in ~; full of ~ (unpleasant)","… ले भरिएको (अप्रिय)","子供が泥だらけになって帰ってきた。","こどもが どろだらけに なって かえって きた。","The child came home covered in mud.","बच्चा हिलैहिलो भएर घर आयो।","この作文は間違いだらけだ。","このさくぶんは まちがいだらけだ。","This composition is full of mistakes.","यो निबन्ध गल्तीले भरिएको छ।","部屋がほこりだらけで、掃除が大変だった。","へやが ほこりだらけで、そうじが たいへんだった。","The room was covered in dust; cleaning was hard work.","कोठा धुलैधुलो थियो, सफा गर्न गाह्रो भयो।","[unpleasant N]だらけ","A large quantity of something unwanted, spread all over. Only nouns, and only negative ones (×花だらけ in praise).","same","だらけ ↔ でいっぱい","だらけ is always negative and takes only nouns; でいっぱい is neutral (幸せでいっぱい is fine, 幸せだらけ is not)","子供が泥＿＿＿になって帰ってきた。","だらけ","この作文は間違い＿＿＿だ。","A だらけ / B がち / C っぽい / D ばかりに","A だらけ","A large quantity of an unwanted thing throughout the text.","B がち attaches to a verb stem or noun to state frequency (間違えがち = tends to make mistakes), but the sentence describes the text as full of them, not a tendency.","","","","N3 grammar quantity"
"〜てしょうがない","V-て / い-adj-くて / な-adj-で + しょうがない","can't help feeling ~; unbearably ~","अत्यन्तै … लाग्नु / सहन नसक्ने गरी …","試験の結果が気になってしょうがない。","しけんの けっかが きに なって しょうがない。","I can't stop worrying about the exam results.","परीक्षाको नतिजाको चिन्ता लागेर सकिनँ।","今日は暑くてしょうがない。","きょうは あつくて しょうがない。","It's unbearably hot today.","आज असह्य गर्मी छ।","家族に会いたくてしょうがない。","かぞくに あいたくて しょうがない。","I miss my family terribly.","परिवारलाई भेट्न मन लागेर सकिनँ।","[feeling in て-form]しょうがない","An emotion or sensation so strong the speaker cannot control it. Mostly about the speaker's own state.","しかたがない is the formal variant; しようがない is the full written form","てしょうがない ↔ てたまらない","these two are close in meaning; the usable difference is register (しょうがない is more colloquial), not strength — do not invent a strength scale","試験の結果が気になって＿＿＿＿＿。","しょうがない","今日は暑くて＿＿＿＿＿。","A しょうがない / B ちがいない / C ほかない / D わけがない","A しょうがない","An uncontrollable physical sensation after a て-form.","B にちがいない expresses conviction and attaches to a plain form (暑いにちがいない = it must be hot), not to 暑くて.","","","","N3 grammar emotion"
"〜てたまらない","V-て / い-adj-くて / な-adj-で + たまらない","unbearably ~; can't stand how ~","सहनै नसक्ने गरी … / धेरै …","のどが渇いてたまらない。","のどが かわいて たまらない。","I'm unbearably thirsty.","तिर्खाले सहनै सकिनँ।","この本の続きが読みたくてたまらない。","このほんの つづきが よみたくて たまらない。","I'm dying to read the rest of this book.","यो किताबको बाँकी भाग पढ्न मन लागेर सकिनँ।","工事の音がうるさくてたまらない。","こうじの おとが うるさくて たまらない。","The construction noise is unbearable.","निर्माणको आवाज सहनै नसक्ने छ।","[sensation in て-form]たまらない","A physical sensation or desire at an unbearable level; used with the speaker's own state, or a third person plus らしい / ようだ.","same","てたまらない ↔ てしょうがない","close in meaning; the reliable difference is register, not degree","のどが渇いて＿＿＿＿＿。","たまらない","この本の続きが読みたくて＿＿＿＿＿。","A たまらない / B ならない / C いけない / D かまわない","A たまらない","An overwhelming desire after a たい-form in て.","D かまわない means 'I don't mind', which contradicts the strong desire that 読みたくて sets up.","","","","N3 grammar emotion"
"〜てはじめて","V-て + はじめて","only after ~ (did I realise / was it possible)","… गरेपछि मात्र (थाहा भयो / सम्भव भयो)","外国に住んではじめて、自分の国のよさがわかった。","がいこくに すんで はじめて、じぶんの くにの よさが わかった。","Only after living abroad did I understand my own country's virtues.","विदेशमा बसेपछि मात्र आफ्नो देशको राम्रोपन बुझें।","失ってはじめて、その大切さに気づく。","うしなって はじめて、その たいせつさに きづく。","Only when you lose it do you notice how precious it was.","गुमाएपछि मात्र त्यसको महत्त्व थाहा हुन्छ।","病気になってはじめて、健康のありがたみを知った。","びょうきに なって はじめて、けんこうの ありがたみを しった。","Only after falling ill did I appreciate good health.","बिरामी परेपछि मात्र स्वास्थ्यको महत्त्व थाहा भयो।","[V-て]はじめて、[realisation]","The experience was the necessary condition for a realisation; the main clause is usually わかる / 気づく / 知る.","same","てはじめて ↔ てから","the main clause must be a realisation or a newly possible thing; てから is plain sequence","外国に住んで＿＿＿＿、自分の国のよさがわかった。","はじめて","失って＿＿＿＿、その大切さに気づく。","A はじめて / B から / C ばかり / D いらい","A はじめて","Losing it is the condition for the realisation 気づく.","B てから marks plain sequence ('after losing it, I notice'), losing the 'only then' emphasis that the proverb depends on.","","","","N3 grammar realisation"
"〜ないことはない","V-ない + ことはない; い-adj-く + ないことはない; な-adj / N + でないことはない","it's not that ~ can't; it is possible, though (reluctant partial affirmation)","… नहुने पनि होइन (अनिच्छुक स्वीकृति)","辛いものは食べないことはないが、あまり好きではない。","からいものは たべないことは ないが、あまり すき では ない。","It's not that I can't eat spicy food, but I don't much like it.","पिरो खाना नखाने होइन, तर त्यति मन पर्दैन।","今から行けば、間に合わないことはない。","いまから いけば、まにあわないことは ない。","If we leave now, it's not impossible to make it.","अहिले निस्के भ्याउन नसकिने होइन।","難しくないことはないが、やってみる価値はある。","むずかしくないことは ないが、やって みる かちは ある。","It's not that it isn't hard, but it's worth trying.","गाह्रो नभएको होइन, तर गरेर हेर्न लायक छ।","[V-ない]ことはないが、[reservation]","Double negative giving a weak, hedged yes; usually followed by が and a reservation.","ないこともない","ないことはない ↔ ことはない","ないことはない = weak affirmation (it is possible); ことはない = no need to — the ない changes the meaning completely","辛いものは食べ＿＿＿＿＿＿が、あまり好きではない。","ないことはない","今から行けば、間に合わ＿＿＿＿＿＿。","A ないことはない / B ることはない / C ないわけがない / D ないほかない","A ないことはない","A hedged 'we might just make it' after a conditional.","C ないわけがない asserts it is impossible not to make it, far stronger than the tentative reassurance the conditional sets up.","Telling someone an action is unnecessary. そんなに心配する＿＿＿＿よ。","ことはない","ことはない fits because it tells the listener the action is unnecessary; ないことはない would give a hedged affirmation about being able to worry, which is not a reassurance. 心配することはない / 心配しないことはない.","N3 grammar affirmation confusable"
"〜ようがない","V-stem + ようがない","there's no way to ~ (no method exists)","… गर्ने उपाय नै छैन","連絡先を知らないので、知らせようがない。","れんらくさきを しらない ので、しらせようが ない。","I don't have their contact details, so there's no way to let them know.","सम्पर्क ठेगाना थाहा नभएकोले खबर गर्ने उपाय छैन।","こんなに壊れていては、直しようがない。","こんなに こわれていては、なおしようが ない。","Broken this badly, there's no way to fix it.","यति बिग्रेपछि मर्मत गर्ने उपाय छैन।","原因がわからないので、対策の立てようがない。","げんいんが わからない ので、たいさくの たてようが ない。","Without knowing the cause, there's no way to plan countermeasures.","कारण थाहा नभएकाले उपाय बनाउने बाटो छैन।","[obstacle]ので、[V-stem]ようがない","No method or means exists, usually because information or conditions are missing. Not about permission or willingness.","same","ようがない ↔ しかない","ようがない = no method available; not the same as できない (ability) or してはいけない (prohibition)","連絡先を知らないので、知らせ＿＿＿＿＿。","ようがない","こんなに壊れていては、直し＿＿＿＿＿。","A ようがない / B しかない / C っぱなしだ / D がちだ","A ようがない","The damage removes any method of repair.","B しかない would say repairing is the only option left, the opposite of there being no way to repair it.","","","","N3 grammar impossibility"
"〜ようとする","V-volitional + とする","try to ~; be about to ~","… गर्न खोज्नु / … गर्न लाग्नु","電車に乗ろうとしたとき、ドアが閉まった。","でんしゃに のろうと した とき、ドアが しまった。","Just as I was about to board, the doors closed.","ट्रेन चढ्न लाग्दा ढोका बन्द भयो।","何度も立ち上がろうとしたが、できなかった。","なんども たちあがろうと したが、できなかった。","I tried again and again to stand up, but couldn't.","धेरै पटक उठ्न खोजें, तर सकिनँ।","赤ちゃんが歩こうとしている。","あかちゃんが あるこうと している。","The baby is trying to walk.","बच्चा हिँड्न खोज्दैछ।","[V-volitional]とする","An attempt in progress or an action on the verge of happening; often the attempt fails or is interrupted.","same","ようとする ↔ てみる","ようとする = attempt or verge, often unsuccessful; てみる = try something out to see the result","電車に乗ろう＿＿＿とき、ドアが閉まった。","とした","何度も立ち上がろう＿＿＿が、できなかった。","A としたが / B てみたが / C ようになったが / D ようにしたが","A としたが","Repeated attempts that failed, following a volitional form.","B 立ち上がってみたが presupposes the standing succeeded and reports what came of it, but できなかった says it never happened.","Sampling something to see what it's like. この店のラーメンを食べ＿＿＿。","てみる","てみる fits because the action is carried out to see the result; ようとする would describe an attempt that has not succeeded, which does not match simply trying a dish. 食べてみる / 食べようとしたが食べられなかった.","N3 grammar attempt confusable"
"〜つもりで","V-た / V-dict + つもりで; N + の + つもりで","with the belief that ~; as if ~ (acting on an assumption)","… सम्झेर / … भन्ने भावनाले","死んだつもりで、もう一度やってみよう。","しんだ つもりで、もう いちど やって みよう。","Let's try once more as if our lives depended on it.","मरेको सम्झेर फेरि एक पटक गरौं।","旅行に行ったつもりで、そのお金を貯金した。","りょこうに いった つもりで、そのおかねを ちょきんした。","Imagining I'd taken the trip, I saved that money instead.","यात्रा गएको सम्झेर त्यो पैसा बचत गरें।","お客さんの気持ちになったつもりで、考えてください。","おきゃくさんの きもちに なった つもりで、かんがえて ください。","Please think as if you were in the customer's position.","ग्राहकको भावना बुझेको सम्झेर सोच्नुहोस्।","[assumed situation]つもりで、[action]","You act as though something were true although it is not; distinct from つもりだ (intention).","same","つもりで ↔ つもりだ","つもりで = acting on a pretend assumption; つもりだ = a real intention","死んだ＿＿＿＿、もう一度やってみよう。","つもりで","旅行に行った＿＿＿＿、そのお金を貯金した。","A つもりで / B つもりだ / C ところで / D わけで","A つもりで","Saving money while pretending the trip happened.","B つもりだ states a real plan to travel, which contradicts saving the money instead.","","","","N3 grammar assumption"
