#separator:tab
#html:false
#notetype:N3 Vocab (drip)
#columns:Word	WordFurigana	Reading	Meaning	PartOfSpeech	Type	Sentence1	Sentence1EN	Sentence2	Sentence2EN	Sentence3	Sentence3EN	Note	Tags
#tags column:14
場合	場合[ばあい]	ばあい	case; situation; in the event of	noun	noun	雨[あめ]の 場合[ばあい]は、 試合[しあい]は 中止[ちゅうし]になります。	In case of rain, the match will be cancelled.	遅[おく]れる 場合[ばあい]は、 必[かなら]ず 連絡[れんらく]してください。	If you are going to be late, be sure to contact us.	多[おお]くの 場合[ばあい]、 原因[げんいん]は 睡眠[すいみん] 不足[ぶそく]です。	In many cases, the cause is lack of sleep.	Reading is ばあい. その場合は = in that case. Spoken equivalent: 〜だったら.	N3::day01 noun
結果	結果[けっか]	けっか	result; outcome	noun	noun	試験[しけん]の 結果[けっか]は 来週[らいしゅう] 発表[はっぴょう]されます。	The exam results will be announced next week.	頑張[がんば]った 結果[けっか]、 合格[ごうかく]できました。	As a result of working hard, I passed.	結果[けっか]より 過程[かてい]が 大切[たいせつ]だと 思[おも]う。	I think the process matters more than the result.	Pair with 原因 (cause). 結果的に = as it turned out.	N3::day01 noun
関係	関係[かんけい]	かんけい	relationship; connection; relevance	noun / suru-verb	noun	二人[ふたり]の 関係[かんけい]は 前[まえ]より 良[よ]くなった。	The relationship between the two has gotten better than before.	それは 私[わたし]には 関係[かんけい]ありません。	That has nothing to do with me.	この 問題[もんだい]は 天気[てんき]と 関係[かんけい]がある。	This problem is related to the weather.	関係ない = none of my business / irrelevant (rough spoken: 関係ねえ). 人間関係 = human relations.	N3::day01 noun
状況	状況[じょうきょう]	じょうきょう	situation; circumstances	noun	noun	現在[げんざい]の 状況[じょうきょう]を 説明[せつめい]してください。	Please explain the current situation.	状況[じょうきょう]によっては、 予定[よてい]を 変[か]えるかもしれません。	Depending on the situation, we might change the plan.	事故[じこ]の 状況[じょうきょう]はまだよく 分[わ]かっていない。	The circumstances of the accident are still not well understood.	状況 = surrounding circumstances (changing); 状態 = condition of a thing. Both on N3.	N3::day01 noun
感じる	感[かん]じる	かんじる	to feel; to sense	v1 transitive	verb	最近[さいきん]、 少[すこ]し 疲[つか]れを 感[かん]じる。	I have been feeling a bit tired lately.	彼[かれ]の 言葉[ことば]に 優[やさ]しさを 感[かん]じた。	I felt kindness in his words.	日本[にほん]の 夏[なつ]は、 暑[あつ]さより 湿気[しっけ]を 強[つよ]く 感[かん]じる。	In Japanese summers you feel the humidity more than the heat.	〜と感じる = feel that (opinion). 〜感じがする = it feels like. Spoken: いい感じ = looks/feels good.	N3::day01 verb
続く	続[つづ]く	つづく	to continue; to last; to go on	v5 intransitive	verb	雨[あめ]の 日[ひ]が 一週間[いっしゅうかん] 続[つづ]いている。	The rainy days have continued for a week.	会議[かいぎ]は 夜[よる] 遅[おそ]くまで 続[つづ]いた。	The meeting went on until late at night.	この 道[みち]は 駅[えき]まで 続[つづ]いています。	This road continues to the station.	続く at the end of an episode = to be continued. Pair: 続く (vi) ↔ 続ける (vt).	N3::day01 verb
続ける	続[つづ]ける	つづける	to continue (doing); to keep on	v1 transitive	verb	毎日[まいにち] 三十分[さんじゅっぷん]、 日本語[にほんご]の 勉強[べんきょう]を 続[つづ]けている。	I keep studying Japanese 30 minutes every day.	疲[つか]れても、 走[はし]り 続[つづ]けた。	Even though I was tired, I kept running.	話[はなし]を 続[つづ]けてください。	Please continue your story.	V-stem＋続ける is a core N3 grammar pattern. Spoken: 続けて！ = Go on.	N3::day01 verb
情報	情報[じょうほう]	じょうほう	information	noun	noun	インターネットで 情報[じょうほう]を 集[あつ]めた。	I gathered information on the internet.	この 情報[じょうほう]は 本当[ほんとう]かどうか 分[わ]からない。	I do not know whether this information is true.	新[あたら]しい 情報[じょうほう]が 入[はい]ったら、すぐ 知[し]らせます。	I will let you know as soon as new information comes in.	個人情報 = personal information. Reading じょうほう.	N3::day01 noun
方法	方法[ほうほう]	ほうほう	method; way	noun	noun	もっといい 方法[ほうほう]があると 思[おも]う。	I think there is a better way.	単語[たんご]を 覚[おぼ]える 方法[ほうほう]を 教[おし]えてください。	Please tell me a method for memorizing vocabulary.	この 方法[ほうほう]なら、 誰[だれ]でも 簡単[かんたん]にできる。	With this method, anyone can do it easily.	方法 = method (formal); やり方 = way of doing (spoken); 〜方 (使い方) = how to.	N3::day01 noun
内容	内容[ないよう]	ないよう	content(s); substance	noun	noun	メールの 内容[ないよう]を 確認[かくにん]しました。	I checked the contents of the email.	この 本[ほん]は 内容[ないよう]が 難[むずか]しい。	The content of this book is difficult.	話[はなし]の 内容[ないよう]がよく 分[わ]からなかった。	I did not really understand what the talk was about.	内容 = content (abstract, exam word); 中身 (なかみ) = what is physically inside.	N3::day01 noun
