#separator:tab
#html:false
#tags column:17
#columns:word	rank	word_furigana	reading	type	pos	english	nepali	sentence1	sentence1_en	sentence2	sentence2_en	sentence3	sentence3_en	frame	note	tags
場合	1	場合[ばあい]	ばあい	noun	noun	case; situation; in the event of	अवस्था; …को खण्डमा	雨[あめ]の 場合[ばあい]は、 試合[しあい]は 中止[ちゅうし]になります。	In case of rain, the match will be cancelled.	遅[おく]れる 場合[ばあい]は、 必[かなら]ず 連絡[れんらく]してください。	If you are going to be late, be sure to contact us.	多[おお]くの 場合[ばあい]、 原因[げんいん]は 睡眠[すいみん] 不足[ぶそく]です。	In many cases, the cause is lack of sleep.	〜の場合（は）／V-た場合（は）／多くの場合	Reading is ばあい. その場合は = in that case. Spoken equivalent: 〜だったら.	N3 batch1 day1 noun
結果	2	結果[けっか]	けっか	noun	noun	result; outcome	नतिजा; परिणाम	試験[しけん]の 結果[けっか]は 来週[らいしゅう] 発表[はっぴょう]されます。	The exam results will be announced next week.	頑張[がんば]った 結果[けっか]、 合格[ごうかく]できました。	As a result of working hard, I passed.	結果[けっか]より 過程[かてい]が 大切[たいせつ]だと 思[おも]う。	I think the process matters more than the result.	〜の結果／V-た結果、…／結果として／結果的に	Pair with 原因 (cause). 結果的に = as it turned out.	N3 batch1 day1 noun
関係	3	関係[かんけい]	かんけい	noun	noun / suru-verb	relationship; connection; relevance	सम्बन्ध	二人[ふたり]の 関係[かんけい]は 前[まえ]より 良[よ]くなった。	The relationship between the two has gotten better than before.	それは 私[わたし]には 関係[かんけい]ありません。	That has nothing to do with me.	この 問題[もんだい]は 天気[てんき]と 関係[かんけい]がある。	This problem is related to the weather.	AとBの関係／Aに関係がある・ない／Aと関係する	関係ない = none of my business / irrelevant (rough spoken: 関係ねえ). 人間関係 = human relations.	N3 batch1 day1 noun
状況	4	状況[じょうきょう]	じょうきょう	noun	noun	situation; circumstances	स्थिति; परिस्थिति	現在[げんざい]の 状況[じょうきょう]を 説明[せつめい]してください。	Please explain the current situation.	状況[じょうきょう]によっては、 予定[よてい]を 変[か]えるかもしれません。	Depending on the situation, we might change the plan.	事故[じこ]の 状況[じょうきょう]はまだよく 分[わ]かっていない。	The circumstances of the accident are still not well understood.	〜の状況／状況によって（は）／状況が変わる	状況 = surrounding circumstances (changing); 状態 = condition of a thing. Both on N3.	N3 batch1 day1 noun
感じる	5	感[かん]じる	かんじる	verb	v1 transitive	to feel; to sense	महसुस गर्नु	最近[さいきん]、 少[すこ]し 疲[つか]れを 感[かん]じる。	I have been feeling a bit tired lately.	彼[かれ]の 言葉[ことば]に 優[やさ]しさを 感[かん]じた。	I felt kindness in his words.	日本[にほん]の 夏[なつ]は、 暑[あつ]さより 湿気[しっけ]を 強[つよ]く 感[かん]じる。	In Japanese summers you feel the humidity more than the heat.	AをBに感じる／Aを感じる／〜と感じる	〜と感じる = feel that (opinion). 〜感じがする = it feels like. Spoken: いい感じ = looks/feels good.	N3 batch1 day1 verb
続く	6	続[つづ]く	つづく	verb	v5 intransitive	to continue; to last; to go on	जारी रहनु; निरन्तर चल्नु	雨[あめ]の 日[ひ]が 一週間[いっしゅうかん] 続[つづ]いている。	The rainy days have continued for a week.	会議[かいぎ]は 夜[よる] 遅[おそ]くまで 続[つづ]いた。	The meeting went on until late at night.	この 道[みち]は 駅[えき]まで 続[つづ]いています。	This road continues to the station.	Aが続く／Aまで続く／Aが（期間）続く	続く at the end of an episode = to be continued. Pair: 続く (vi) ↔ 続ける (vt).	N3 batch1 day1 verb
続ける	7	続[つづ]ける	つづける	verb	v1 transitive	to continue (doing); to keep on	जारी राख्नु	毎日[まいにち] 三十分[さんじゅっぷん]、 日本語[にほんご]の 勉強[べんきょう]を 続[つづ]けている。	I keep studying Japanese 30 minutes every day.	疲[つか]れても、 走[はし]り 続[つづ]けた。	Even though I was tired, I kept running.	話[はなし]を 続[つづ]けてください。	Please continue your story.	Aを続ける／V-ます形＋続ける（走り続ける・食べ続ける）	V-stem＋続ける is a core N3 grammar pattern. Spoken: 続けて！ = Go on.	N3 batch1 day1 verb
情報	8	情報[じょうほう]	じょうほう	noun	noun	information	जानकारी; सूचना	インターネットで 情報[じょうほう]を 集[あつ]めた。	I gathered information on the internet.	この 情報[じょうほう]は 本当[ほんとう]かどうか 分[わ]からない。	I do not know whether this information is true.	新[あたら]しい 情報[じょうほう]が 入[はい]ったら、すぐ 知[し]らせます。	I will let you know as soon as new information comes in.	情報を集める・得る・伝える／情報が入る	個人情報 = personal information. Reading じょうほう.	N3 batch1 day1 noun
方法	9	方法[ほうほう]	ほうほう	noun	noun	method; way	तरिका; विधि	もっといい 方法[ほうほう]があると 思[おも]う。	I think there is a better way.	単語[たんご]を 覚[おぼ]える 方法[ほうほう]を 教[おし]えてください。	Please tell me a method for memorizing vocabulary.	この 方法[ほうほう]なら、 誰[だれ]でも 簡単[かんたん]にできる。	With this method, anyone can do it easily.	V-る方法／〜の方法／方法がある・ない	方法 = method (formal); やり方 = way of doing (spoken); 〜方 (使い方) = how to.	N3 batch1 day1 noun
内容	10	内容[ないよう]	ないよう	noun	noun	content(s); substance	सामग्री; विषयवस्तु	メールの 内容[ないよう]を 確認[かくにん]しました。	I checked the contents of the email.	この 本[ほん]は 内容[ないよう]が 難[むずか]しい。	The content of this book is difficult.	話[はなし]の 内容[ないよう]がよく 分[わ]からなかった。	I did not really understand what the talk was about.	〜の内容／内容を確認する・説明する／内容が難しい	内容 = content (abstract, exam word); 中身 (なかみ) = what is physically inside.	N3 batch1 day1 noun
決まる	11	決[き]まる	きまる	verb	v5 intransitive	to be decided; to be settled	तय हुनु; निश्चित हुनु	会議[かいぎ]の 日[ひ]が 決[き]まった。	The meeting date has been decided.	引[ひ]っ 越[こ]し 先[さき]はまだ 決[き]まっていません。	Where I am moving to has not been decided yet.	ルールでそう 決[き]まっている。	That is how the rules have it.	Aが決まる／〜に決まっている（N3: definitely）／〜と決まっている	〜に決まっている = obviously / definitely. Spoken: 決まり！ = Deal. Pair: 決める (vt, N4).	N3 batch1 day1 verb
確認	12	確認[かくにん]	かくにん	verb	noun / suru-verb	confirmation; checking	पुष्टि; जाँच	出発[しゅっぱつ] 前[まえ]に、 荷物[にもつ]をもう 一度[いちど] 確認[かくにん]した。	Before leaving, I checked my luggage once more.	予約[よやく]の 確認[かくにん]のメールが 届[とど]いた。	A reservation confirmation email arrived.	念[ねん]のため、 時間[じかん]を 確認[かくにん]させてください。	Just to be sure, let me confirm the time.	Aを確認する／〜かどうか確認する／ご確認ください	ご確認ください = standard polite email phrase. Learn with 念のため = just in case.	N3 batch1 day1 verb
実際	13	実際[じっさい]	じっさい	adv	noun / adverb	actually; in practice; reality	वास्तवमा; वास्तविक	話[はなし]には 聞[き]いていたが、 実際[じっさい]に 見[み]ると 驚[おどろ]いた。	I had heard about it, but when I actually saw it I was surprised.	実際[じっさい]、その 方法[ほうほう]はうまくいかなかった。	In reality, that method did not work well.	計画[けいかく]と 実際[じっさい]は 違[ちが]う。	Plans and reality are different.	実際に＋V／実際（は）／実際のところ	実際に = actually (do/see); 実は = actually (to tell the truth). Not interchangeable.	N3 batch1 day1 adv
